Human Development Index (HDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDI Rank (2018),Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
170,Afghanistan,298,304,312,308,303,327,331,335,339,343,345,347,378,387,400,410,419,431,436,447,464,465,479,485,488,490,491,493,496
69,Albania,644,625,608,611,617,629,639,639,649,660,667,673,680,687,692,702,709,718,724,729,740,759,771,781,787,788,788,789,791
82,Algeria,578,582,589,593,597,602,610,619,629,638,646,655,666,676,685,694,699,708,711,720,730,738,737,746,749,751,755,758,759
36,Andorra,..,..,..,..,..,..,..,..,..,..,759,767,780,820,826,819,829,829,831,830,828,827,849,846,853,850,854,852,857
149,Angola,..,..,..,..,..,..,..,..,..,384,394,404,419,428,440,453,466,482,494,508,510,525,537,547,557,565,570,576,574
74,Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,773,779,784,783,776,772,764,767,767,767,770,772,774,776
48,Argentina,707,714,719,725,729,731,738,746,752,763,770,775,770,775,775,777,801,806,810,810,818,823,823,824,825,828,828,832,830
81,Armenia,633,629,585,590,600,604,614,625,637,644,649,653,663,672,681,694,708,724,727,724,729,733,737,743,746,748,751,758,760
6,Australia,866,867,868,872,875,883,886,889,892,895,898,900,903,904,907,902,905,908,922,923,926,928,932,926,929,933,935,937,938
20,Austria,795,799,805,809,813,817,820,824,828,834,838,849,838,842,849,855,861,881,884,886,895,897,899,896,904,906,909,912,914
87,Azerbaijan,..,..,..,..,..,612,612,618,627,634,641,649,658,667,674,681,707,712,721,734,732,731,736,741,746,749,749,752,754
60,Bahamas,..,..,..,..,..,..,..,..,..,..,787,788,790,789,790,791,794,794,794,793,795,795,797,797,796,799,800,804,805
45,Bahrain,736,755,756,764,768,775,779,781,784,786,792,792,792,793,792,792,793,796,796,794,796,798,800,807,810,834,839,839,838
135,Bangladesh,388,395,403,411,419,427,436,444,453,462,470,479,485,492,499,506,514,521,524,535,549,559,567,572,572,588,599,609,614
56,Barbados,732,733,733,737,743,747,751,757,756,764,771,770,774,778,782,786,791,796,799,801,799,802,811,812,812,812,814,813,813
50,Belarus,..,..,..,..,..,656,661,667,671,676,682,689,696,704,714,724,740,756,774,784,792,798,803,808,811,811,812,815,817
17,Belgium,806,810,825,838,845,851,857,862,866,868,873,876,879,882,885,889,896,899,899,899,903,904,905,908,910,913,915,917,919
103,Belize,613,618,624,627,627,627,627,630,631,636,643,647,655,663,668,666,676,678,683,688,693,699,706,707,710,715,722,719,720
163,Benin,348,354,358,365,368,373,377,381,385,391,398,410,419,426,434,440,447,455,462,468,473,479,489,500,505,510,512,515,520
134,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512,524,539,547,559,571,581,591,594,601,606,610,615,617
114,Bolivia (Plurinational State of),540,549,555,562,570,578,585,587,599,608,616,619,625,629,630,632,638,638,647,651,656,660,663,673,678,685,692,700,703
75,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,669,675,681,686,692,700,706,713,720,720,714,722,741,748,754,755,765,767,769
94,Botswana,570,576,574,573,567,573,572,575,577,579,578,580,576,583,589,598,612,625,638,647,660,676,687,699,709,714,719,724,728
79,Brazil,613,620,626,634,642,651,657,664,670,675,684,691,698,694,697,700,701,705,716,718,726,730,734,752,755,755,757,760,761
43,Brunei Darussalam,768,773,778,783,788,791,794,797,798,804,805,806,809,815,820,824,827,827,828,831,832,836,843,844,845,843,844,843,845
52,Bulgaria,694,691,691,690,691,697,703,704,710,709,712,722,729,738,745,750,756,764,771,774,779,782,786,792,797,807,812,813,816
182,Burkina Faso,..,..,..,..,..,..,..,..,..,..,286,290,296,303,312,324,333,344,357,366,375,385,394,401,405,413,420,429,434
185,Burundi,295,298,294,294,291,287,283,283,287,288,293,294,304,312,322,329,351,363,375,391,402,410,416,422,429,427,427,421,423
126,Cabo Verde,..,..,..,..,..,..,..,..,..,..,564,566,576,580,586,592,606,615,622,623,626,633,634,641,641,643,645,647,651
146,Cambodia,384,388,393,397,374,387,391,397,402,407,419,434,453,466,478,490,502,516,521,524,535,542,548,555,561,566,572,578,581
150,Cameroon,445,442,438,432,430,429,428,429,434,434,439,455,457,463,468,469,470,481,489,497,471,513,524,531,540,548,556,560,563
13,Canada,850,853,856,854,859,861,863,863,861,864,868,872,877,882,887,892,895,891,893,893,895,899,906,910,914,917,920,921,922
188,Central African Republic,320,314,299,299,300,304,301,304,306,308,307,311,314,314,319,323,328,334,339,346,355,363,370,351,355,362,372,376,381
187,Chad,..,..,..,..,..,..,..,..,..,..,298,306,311,310,326,331,337,345,350,366,374,385,393,399,406,403,398,401,401
42,Chile,703,712,719,712,717,725,732,739,741,747,753,764,767,773,782,788,787,801,811,819,800,812,818,830,834,839,843,845,847
85,China,501,509,520,530,537,549,558,566,574,583,591,599,610,622,631,643,657,670,681,690,702,711,719,727,735,742,749,753,758
79,Colombia,600,603,613,621,628,633,643,651,658,658,662,664,667,666,680,693,700,713,720,724,729,735,736,746,750,753,759,760,761
156,Comoros,..,..,..,..,..,..,..,..,..,..,457,462,467,473,474,480,487,492,499,506,513,524,529,532,534,535,537,539,538
138,Congo,531,530,530,524,521,505,503,506,511,500,495,501,504,504,508,506,508,523,538,550,557,559,571,581,595,614,613,609,609
179,Congo (Democratic Republic of the),377,371,369,364,334,333,337,334,334,331,333,333,340,349,357,364,372,382,393,400,416,419,423,429,441,445,453,456,459
68,Costa Rica,655,661,670,676,682,687,690,696,702,706,711,714,717,720,724,728,734,742,750,751,754,768,774,777,785,786,789,792,794
46,Croatia,670,665,665,667,681,696,708,720,731,740,749,761,767,773,779,785,794,801,805,804,811,817,820,825,827,830,832,835,837
72,Cuba,676,670,663,656,652,654,665,669,672,679,686,692,693,704,718,730,752,768,778,780,776,775,764,762,764,768,771,777,778
31,Cyprus,731,733,738,775,779,783,786,789,797,797,799,805,814,822,826,830,836,844,852,854,850,853,852,854,856,864,869,871,873
26,Czechia,730,726,728,735,744,753,767,774,775,784,796,806,813,822,825,835,843,850,854,857,862,865,865,874,879,882,885,888,891
165,Côte d'Ivoire,391,393,393,393,395,397,401,403,403,408,407,408,409,411,417,425,430,435,441,448,454,457,467,475,478,494,508,512,516
11,Denmark,799,804,809,815,824,831,837,843,849,861,863,876,883,894,898,903,905,904,909,906,910,922,924,926,928,926,928,929,930
171,Djibouti,..,..,..,..,..,353,351,355,356,360,361,370,376,386,394,402,414,424,432,437,446,451,459,467,475,482,489,492,495
98,Dominica,..,..,..,..,..,..,..,..,..,..,694,698,697,702,704,706,711,715,721,721,733,733,731,730,732,729,729,723,724
89,Dominican Republic,593,597,606,613,618,624,630,637,643,648,653,657,662,663,666,675,682,689,692,694,701,704,708,712,724,733,738,741,745
85,Ecuador,642,645,649,653,657,661,663,667,670,667,669,674,679,682,687,692,695,706,711,712,716,742,740,751,750,758,756,757,758
116,Egypt,546,551,557,563,569,576,584,591,592,605,611,616,621,623,629,635,643,651,659,660,666,669,676,681,683,690,695,696,700
124,El Salvador,529,533,544,555,564,573,581,590,598,600,608,612,619,625,631,637,645,644,647,647,659,656,660,662,660,660,662,665,667
144,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,520,523,536,535,545,569,579,585,586,588,580,583,587,588,590,593,592,590,588
182,Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,424,425,427,423,432,433,433,422,425,436,433,434,431,434
30,Estonia,730,725,716,709,713,724,734,747,759,766,780,790,799,806,814,825,832,839,841,838,844,853,859,863,865,871,875,879,882
138,Eswatini (Kingdom of),545,546,543,538,531,526,519,507,493,483,468,457,445,440,448,459,472,482,491,501,513,528,542,558,573,585,596,603,608
173,Ethiopia,0,0,0,0,0,0,0,0,0,0,283,298,306,310,325,346,362,377,394,402,412,423,429,439,446,453,460,467,470
98,Fiji,640,645,651,655,660,666,668,667,667,672,675,675,678,679,685,687,687,691,691,694,694,698,702,707,712,718,718,721,724
12,Finland,784,787,795,799,809,816,823,832,840,848,858,864,867,870,891,895,899,901,904,899,903,907,908,916,918,919,922,924,925
26,France,780,790,798,804,818,825,830,834,839,844,842,845,845,848,852,860,865,867,869,869,872,876,878,882,887,888,887,890,891
115,Gabon,619,623,623,625,628,630,632,633,636,631,627,630,632,633,632,638,638,643,645,653,658,663,672,679,688,692,696,700,702
174,Gambia,328,335,339,343,346,350,356,362,368,376,382,389,392,400,409,413,418,424,431,434,437,435,441,448,449,454,456,459,466
70,Georgia,..,..,..,..,..,..,..,..,..,..,669,673,678,688,695,705,712,724,723,727,732,738,749,756,764,771,776,783,786
4,Germany,801,809,814,824,829,834,839,844,853,861,869,876,883,889,899,900,910,914,916,916,920,925,927,927,930,933,936,938,939
142,Ghana,454,459,463,467,469,472,473,475,476,478,483,482,487,489,497,508,518,529,542,547,554,563,570,578,577,585,587,591,596
32,Greece,753,763,764,762,766,768,772,777,787,789,796,806,818,825,835,845,851,849,857,859,857,853,856,858,866,868,866,871,872
