"X","pais","cname","anos","inicio_projeto","anos_contagem","regiao","regiao_proj_noano","regiao_proj_acumulados","icrg_qog"
0,"Africa do Sul","South Africa",1999,0,0,"Africa do Sul",0,0,0.45833334
1,"Africa do Sul","South Africa",2000,0,1,"Africa do Sul",0,0,0.44444445
2,"Africa do Sul","South Africa",2001,0,2,"Africa do Sul",0,0,0.44212964
3,"Africa do Sul","South Africa",2002,0,3,"Africa do Sul",0,0,0.4050926
4,"Africa do Sul","South Africa",2003,0,4,"Africa do Sul",0,0,0.37962964
5,"Africa do Sul","South Africa",2004,0,5,"Africa do Sul",0,0,0.41666666
6,"Africa do Sul","South Africa",2005,0,6,"Africa do Sul",1,1,0.42592591
7,"Africa do Sul","South Africa",2006,0,7,"Africa do Sul",5,6,0.44444445
8,"Africa do Sul","South Africa",2007,0,8,"Africa do Sul",2,8,0.44444445
9,"Africa do Sul","South Africa",2008,0,9,"Africa do Sul",2,10,0.44444445
10,"Africa do Sul","South Africa",2009,1,10,"Africa do Sul",1,11,0.44444445
11,"Namibia","Namibia",1999,0,0,"Africa do Sul",0,0,0.66666669
12,"Namibia","Namibia",2000,0,1,"Africa do Sul",0,0,0.66666669
13,"Namibia","Namibia",2001,0,2,"Africa do Sul",0,0,0.64814818
14,"Namibia","Namibia",2002,0,3,"Africa do Sul",0,0,0.58796299
15,"Namibia","Namibia",2003,0,4,"Africa do Sul",0,0,0.58333331
16,"Namibia","Namibia",2004,0,5,"Africa do Sul",0,0,0.56018519
17,"Namibia","Namibia",2005,1,6,"Africa do Sul",1,1,0.52777779
18,"Mocambique","Mozambique",1999,0,0,"Africa Oriental",0,0,0.3888889
19,"Mocambique","Mozambique",2000,0,1,"Africa Oriental",0,0,0.28703704
20,"Mocambique","Mozambique",2001,0,2,"Africa Oriental",0,0,0.27777779
21,"Mocambique","Mozambique",2002,1,3,"Africa Oriental",0,0,0.31481481
22,"Angola","Angola",1999,0,0,"Africa Central",0,0,0.3611111
23,"Angola","Angola",2000,0,1,"Africa Central",0,0,0.3611111
24,"Angola","Angola",2001,0,2,"Africa Central",0,0,0.3611111
25,"Angola","Angola",2002,1,3,"Africa Central",0,0,0.3611111
26,"Cabo Verde","Cape Verde",1999,0,0,"Africa Ocidental",0,0,NA
27,"Cabo Verde","Cape Verde",2000,0,1,"Africa Ocidental",0,0,NA
28,"Cabo Verde","Cape Verde",2001,0,2,"Africa Ocidental",0,0,NA
29,"Cabo Verde","Cape Verde",2002,1,3,"Africa Ocidental",0,0,NA
