País;country;African Union; Arab Maghreb Union;Common Market for Eastern and Southern Africa;Community of Sahel-Saharan States;East African Community;Economic Community of Central African States;Economic and Monetary Community of Central Africa;Economic Community of West African States;Intergovernmental Authority for Development;Southern African Development Community;Southern African Customs Union;Cotton4
Argélia;Algeria;1;1;0;0;0;0;0;0;0;0;0;0
Angola;Angola;1;0;0;0;0;1;0;0;0;1;0;0
Benin;Benin;1;0;0;1;0;0;0;1;0;0;0;1
Botsuana;Botswana;1;0;0;0;0;0;0;0;0;1;1;0
Burkina-Faso;Burkina Faso;1;0;0;1;1;0;0;1;0;0;0;1
Burundi;Burundi;1;0;1;0;0;1;0;0;0;0;0;0
Camarões;Cameroon;1;0;0;0;0;1;1;0;0;0;0;0
Cabo Verde;Cape Verde;1;0;0;0;0;0;0;1;0;0;0;0
Republica Centro-Africana;Central African Republic;1;0;0;1;0;1;1;0;0;0;0;0
Chade;Chad;1;0;0;1;0;1;1;0;0;0;0;1
Comoros;Comoros;1;0;1;1;0;0;0;0;0;0;0;0
República do Congo;Congo;1;0;0;0;0;1;1;0;0;1;0;0
República Democrática do Congo;Congo (Democratic Republic of the);1;0;1;0;0;1;0;0;0;0;0;0
Cote d'Ivoire;Côte d'Ivoire;1;0;0;1;0;0;0;1;0;0;0;0
Djibouti;Djibouti;1;0;1;1;0;0;0;0;1;0;0;0
Guiné Equatorial;Equatorial Guinea;1;0;0;0;0;1;1;0;0;0;0;0
Egito;Egypt;1;0;1;1;0;0;0;0;0;0;0;0
Eritrea;Eritrea;1;0;1;1;0;0;0;0;1;0;0;0
Etiópia;Ethiopia;1;0;1;0;0;0;0;0;1;0;0;0
Gabão;Gabon;1;0;0;0;0;1;1;0;0;0;0;0
Gâmbia;Gambia;1;0;0;1;0;0;0;1;0;0;0;0
Gana;Ghana;1;0;0;1;0;0;0;1;0;0;0;0
Guiné;Guinea;1;0;0;0;0;0;0;1;0;0;0;0
Guiné-Bissau;Guinea-Bissau;1;0;0;1;0;0;0;1;0;0;0;0
Lesoto;Lesotho;1;0;0;0;0;0;0;0;0;1;1;0
Quênia;Kenya;1;0;1;0;1;0;0;0;1;0;0;0
Libéria;Liberia;1;0;0;0;0;0;0;1;0;0;0;0
Libia;Libyan Arab Jamahiriya;1;1;1;1;0;0;0;0;0;0;0;0
Madagascar;Madagascar;1;0;1;0;0;0;0;0;0;1;0;0
Malaui;Malawi;1;0;1;0;0;0;0;0;0;1;0;0
Mali;Mali;1;0;0;1;0;0;0;1;0;0;0;1
Mauritânia;Mauritania;1;1;0;1;0;0;0;0;0;0;0;0
Mauricio;Mauritius;1;0;1;0;0;0;0;0;0;1;0;0
Marrocos;Morocco;1;1;0;1;0;0;0;0;0;0;0;0
Moçambique;Mozambique;1;0;0;0;0;0;0;0;0;1;0;0
Namíbia;Namibia;1;0;0;0;0;0;0;0;0;1;1;0
Niger;Niger;1;0;0;1;0;0;0;1;0;0;0;0
Nigéria;Nigeria;1;0;0;1;0;0;0;1;0;0;0;0
Ruanda;Rwanda;1;0;1;0;1;1;0;0;0;0;0;0
Republica Arabe Saaraui Democratica;Western Sahara;1;0;0;0;0;0;0;0;0;0;0;0
São Tomé e Príncipe;Sao Tome and Principe;1;0;0;0;0;1;0;0;0;0;0;0
Senegal;Senegal;1;0;0;1;0;0;0;1;0;0;0;0
Seychelles;Seychelles;1;0;1;0;0;0;0;0;0;1;0;0
Serra Leoa;Sierra Leone;1;0;0;1;0;0;0;1;0;0;0;0
Somalia;Somalia;1;0;0;1;0;0;0;0;1;0;0;0
África do Sul;South Africa;1;0;0;0;0;0;0;0;0;1;1;0
Sudão do Sul;South Sudan;1;0;0;0;1;0;0;0;1;0;0;0
Sudão;Sudan;1;0;1;1;0;0;0;0;1;0;0;0
Suazilândia;Swaziland;1;0;1;0;0;0;0;0;0;1;1;0
Tanzânia;Tanzania, United Rep. of ;1;0;0;0;1;0;0;0;0;1;0;0
Togo;Togo;1;0;0;1;0;0;0;1;0;0;0;0
Tunísia;Tunisia;1;1;0;1;0;0;0;0;0;0;0;0
Uganda;Uganda;1;0;1;0;1;0;0;0;1;0;0;0
Zâmbia;Zambia;1;0;1;0;0;0;0;0;0;1;0;0
Zimbabue;Zimbabwe;1;0;1;0;0;0;0;0;0;1;0;0
