,pais,country,regiao,anos,inicio_projeto,anos_contagem,regiao_proj_noano,regiao_proj_acumulados,instituicoes_internacionais_proj_noano,instituicoes_internacionais_proj_acumulados,distancia_2palop,paises_2palop,semelhanca_quali_institucional_icrg,semelhanca_quali_institucional_govint,instituicoes_com_palop
0,África do Sul,South Africa,África do Sul,1999,0,0.0,0.0,0.0,0.0,0.0,2888.8410323538537,Mozambique;Angola,0,0,2
1,África do Sul,South Africa,África do Sul,2000,0,1.0,0.0,0.0,0.0,0.0,2888.8410323538537,Mozambique;Angola,0,0,2
2,África do Sul,South Africa,África do Sul,2001,0,2.0,0.0,0.0,0.0,0.0,2888.8410323538537,Mozambique;Angola,0,0,2
3,África do Sul,South Africa,África do Sul,2002,0,3.0,0.0,0.0,7.0,7.0,2888.8410323538537,Mozambique;Angola,0,0,2
4,África do Sul,South Africa,África do Sul,2003,0,4.0,0.0,0.0,11.0,18.0,2888.8410323538537,Mozambique;Angola,0,0,2
5,África do Sul,South Africa,África do Sul,2004,0,5.0,0.0,0.0,14.0,32.0,2888.8410323538537,Mozambique;Angola,0,0,2
6,África do Sul,South Africa,África do Sul,2005,0,6.0,1.0,1.0,47.0,79.0,2888.8410323538537,Mozambique;Angola,0,0,2
7,África do Sul,South Africa,África do Sul,2006,0,7.0,5.0,6.0,75.0,154.0,2888.8410323538537,Mozambique;Angola,0,0,2
8,África do Sul,South Africa,África do Sul,2007,0,8.0,2.0,8.0,112.0,266.0,2888.8410323538537,Mozambique;Angola,1,0,2
9,África do Sul,South Africa,África do Sul,2008,0,9.0,2.0,10.0,140.0,406.0,2888.8410323538537,Mozambique;Angola,1,0,2
10,África do Sul,South Africa,África do Sul,2009,1,10.0,4.0,14.0,139.0,545.0,2888.8410323538537,Mozambique;Angola,1,0,2
11,Namíbia,Namibia,África do Sul,1999,0,0.0,0.0,0.0,0.0,0.0,3189.9649372492804,Angola;Mozambique,0,0,2
12,Namíbia,Namibia,África do Sul,2000,0,1.0,0.0,0.0,0.0,0.0,3189.9649372492804,Angola;Mozambique,0,0,2
13,Namíbia,Namibia,África do Sul,2001,0,2.0,0.0,0.0,0.0,0.0,3189.9649372492804,Angola;Mozambique,0,0,2
14,Namíbia,Namibia,África do Sul,2002,0,3.0,0.0,0.0,7.0,7.0,3189.9649372492804,Angola;Mozambique,0,0,2
15,Namíbia,Namibia,África do Sul,2003,0,4.0,0.0,0.0,11.0,18.0,3189.9649372492804,Angola;Mozambique,0,0,2
16,Namíbia,Namibia,África do Sul,2004,0,5.0,0.0,0.0,14.0,32.0,3189.9649372492804,Angola;Mozambique,0,0,2
17,Namíbia,Namibia,África do Sul,2005,1,6.0,1.0,1.0,47.0,79.0,3189.9649372492804,Angola;Mozambique,0,0,2
38,Argélia,Algeria,África do Norte,1999,0,0.0,0.0,0.0,0.0,0.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
39,Argélia,Algeria,África do Norte,2000,0,1.0,0.0,0.0,0.0,0.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
40,Argélia,Algeria,África do Norte,2001,0,2.0,0.0,0.0,0.0,0.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
41,Argélia,Algeria,África do Norte,2002,0,3.0,0.0,0.0,5.0,5.0,6911.188387923628,Guinea-Bissau;Cape Verde,1,0,1
42,Argélia,Algeria,África do Norte,2003,0,4.0,0.0,0.0,8.0,13.0,6911.188387923628,Guinea-Bissau;Cape Verde,1,0,1
43,Argélia,Algeria,África do Norte,2004,0,5.0,0.0,0.0,11.0,24.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
44,Argélia,Algeria,África do Norte,2005,0,6.0,0.0,0.0,33.0,57.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
45,Argélia,Algeria,África do Norte,2006,0,7.0,1.0,1.0,51.0,108.0,6911.188387923628,Guinea-Bissau;Cape Verde,0,0,1
46,Argélia,Algeria,África do Norte,2007,1,8.0,9.0,10.0,89.0,197.0,6911.188387923628,Guinea-Bissau;Cape Verde,1,0,1
47,Benin,Benin,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
48,Benin,Benin,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
49,Benin,Benin,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
50,Benin,Benin,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
51,Benin,Benin,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
52,Benin,Benin,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
53,Benin,Benin,África Ocidental,2005,0,6.0,20.0,35.0,55.0,97.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
54,Benin,Benin,África Ocidental,2006,1,7.0,26.0,61.0,92.0,189.0,1555.405294296579,Equatorial Guinea;Sao Tome and Principe,0,0,3
55,Burkina-Faso,Burkina Faso,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,1,3
56,Burkina-Faso,Burkina Faso,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,1,3
57,Burkina-Faso,Burkina Faso,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,1,3
58,Burkina-Faso,Burkina Faso,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,0,3
59,Burkina-Faso,Burkina Faso,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,0,3
60,Burkina-Faso,Burkina Faso,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,0,3
61,Burkina-Faso,Burkina Faso,África Ocidental,2005,0,6.0,20.0,35.0,55.0,97.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,0,3
62,Burkina-Faso,Burkina Faso,África Ocidental,2006,1,7.0,26.0,61.0,96.0,193.0,3016.15894810065,Equatorial Guinea;Guinea-Bissau,0,0,3
63,Chade,Chad,África Central,1999,0,0.0,0.0,0.0,0.0,0.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
64,Chade,Chad,África Central,2000,0,1.0,0.0,0.0,0.0,0.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
65,Chade,Chad,África Central,2001,0,2.0,0.0,0.0,0.0,0.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
66,Chade,Chad,África Central,2002,0,3.0,2.0,2.0,8.0,8.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
67,Chade,Chad,África Central,2003,0,4.0,3.0,5.0,13.0,21.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
68,Chade,Chad,África Central,2004,0,5.0,3.0,8.0,18.0,39.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
69,Chade,Chad,África Central,2005,0,6.0,12.0,20.0,53.0,91.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
70,Chade,Chad,África Central,2006,0,7.0,10.0,30.0,80.0,171.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
71,Chade,Chad,África Central,2007,1,8.0,27.0,57.0,151.0,323.0,2761.321961858511,Equatorial Guinea;Sao Tome and Principe,0,1,4
72,Mali,Mali,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
73,Mali,Mali,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
74,Mali,Mali,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
75,Mali,Mali,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
76,Mali,Mali,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
77,Mali,Mali,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,1,3
