"cname","year","ht_region","hf_govint","icrg_qog"
"Algeria",1999,3,"50",0.3888889
"Algeria",2000,3,"50",0.3888889
"Algeria",2001,3,"50",0.38657409
"Algeria",2002,3,"50",0.3611111
"Algeria",2003,3,"50",0.3611111
"Algeria",2004,3,"50",0.38425925
"Algeria",2005,3,"26",0.41666666
"Algeria",2006,3,"27",0.41666666
"Algeria",2007,3,"28",0.41666666
"Algeria",2008,3,"31",0.41666666
"Algeria",2009,3,"30",0.41666666
"Algeria",2010,3,"32",0.43981481
"Angola",1999,4,"10",0.3611111
"Angola",2000,4,"10",0.3611111
"Angola",2001,4,"",0.3611111
"Angola",2002,4,"",0.3611111
"Angola",2003,4,"",0.3611111
"Angola",2004,4,"",0.3611111
"Angola",2005,4,"",0.3611111
"Angola",2006,4,"20",0.3611111
"Angola",2007,4,"20",0.3888889
"Angola",2008,4,"22",0.40277779
"Angola",2009,4,"22",0.40277779
"Angola",2010,4,"19",0.40277779
"Bahrain",1999,3,"70",0.6111111
"Bahrain",2000,3,"70",0.6111111
"Bahrain",2001,3,"70",0.59027779
"Bahrain",2002,3,"70",0.55555558
"Bahrain",2003,3,"70",0.55555558
"Bahrain",2004,3,"70",0.55555558
"Bahrain",2005,3,"61",0.55555558
"Bahrain",2006,3,"58",0.55555558
"Bahrain",2007,3,"58",0.55555558
"Bahrain",2008,3,"57",0.55555558
"Bahrain",2009,3,"50",0.55555558
"Bahrain",2010,3,"54",0.5787037
"Botswana",1999,4,"30",0.55555558
"Botswana",2000,4,"61",0.55555558
"Botswana",2001,4,"61",0.5462963
"Botswana",2002,4,"60",0.52777779
"Botswana",2003,4,"60",0.52777779
"Botswana",2004,4,"64",0.53472221
"Botswana",2005,4,"57",0.55555558
"Botswana",2006,4,"60",0.56481481
"Botswana",2007,4,"59",0.60416669
"Botswana",2008,4,"56",0.55555552
"Botswana",2009,4,"54",0.55555552
"Botswana",2010,4,"58",0.55555552
"Burundi",1999,4,"10",NA
"Burundi",2000,4,"10",NA
"Burundi",2001,4,"",NA
"Burundi",2002,4,"",NA
"Burundi",2003,4,"",NA
"Burundi",2004,4,"",NA
"Burundi",2005,4,"",NA
"Burundi",2006,4,"30",NA
"Burundi",2007,4,"23",NA
"Burundi",2008,4,"24",NA
"Burundi",2009,4,"25",NA
"Burundi",2010,4,"19",NA
"Cameroon",1999,4,"25",0.3611111
"Cameroon",2000,4,"14",0.31944445
"Cameroon",2001,4,"15",0.30555555
"Cameroon",2002,4,"20",0.30555555
"Cameroon",2003,4,"20",0.30555555
"Cameroon",2004,4,"22",0.30555555
"Cameroon",2005,4,"18",0.30555555
"Cameroon",2006,4,"21",0.35185185
"Cameroon",2007,4,"22",0.38194445
"Cameroon",2008,4,"23",0.42824075
"Cameroon",2009,4,"24",0.44444445
"Cameroon",2010,4,"23",0.3888889
"Cape Verde",1999,4,"30",NA
"Cape Verde",2000,4,"30",NA
"Cape Verde",2001,4,"30",NA
"Cape Verde",2002,4,"30",NA
"Cape Verde",2003,4,"30",NA
"Cape Verde",2004,4,"30",NA
"Cape Verde",2005,4,"30",NA
"Cape Verde",2006,4,"30",NA
"Cape Verde",2007,4,"30",NA
"Cape Verde",2008,4,"40",NA
"Cape Verde",2009,4,"49",NA
"Cape Verde",2010,4,"51",NA
"Central African Republic",1999,4,"",NA
"Central African Republic",2000,4,"",NA
"Central African Republic",2001,4,"",NA
"Central African Republic",2002,4,"30",NA
"Central African Republic",2003,4,"30",NA
"Central African Republic",2004,4,"30",NA
"Central African Republic",2005,4,"30",NA
"Central African Republic",2006,4,"30",NA
"Central African Republic",2007,4,"30",NA
"Central African Republic",2008,4,"24",NA
"Central African Republic",2009,4,"20",NA
"Central African Republic",2010,4,"20",NA
"Chad",1999,4,"10",NA
"Chad",2000,4,"10",NA
"Chad",2001,4,"10",NA
"Chad",2002,4,"10",NA
"Chad",2003,4,"10",NA
"Chad",2004,4,"10",NA
"Chad",2005,4,"10",NA
"Chad",2006,4,"17",NA
"Chad",2007,4,"17",NA
"Chad",2008,4,"20",NA
"Chad",2009,4,"18",NA
"Chad",2010,4,"16",NA
"Comoros",1999,4,"",NA
"Comoros",2000,4,"",NA
"Comoros",2001,4,"",NA
"Comoros",2002,4,"",NA
"Comoros",2003,4,"",NA
"Comoros",2004,4,"",NA
"Comoros",2005,4,"",NA
"Comoros",2006,4,"",NA
"Comoros",2007,4,"",NA
"Comoros",2008,4,"",NA
"Comoros",2009,4,"26",NA
"Comoros",2010,4,"25",NA
"Congo",1999,4,"10",0.3611111
"Congo",2000,4,"10",0.40277779
"Congo",2001,4,"10",0.41666669
"Congo",2002,4,"10",0.3611111
"Congo",2003,4,"10",0.30555555
"Congo",2004,4,"10",0.30555555
"Congo",2005,4,"22",0.30555555
"Congo",2006,4,"23",0.30555555
"Congo",2007,4,"23",0.30555555
"Congo",2008,4,"22",0.30555555
"Congo",2009,4,"21",0.30555555
"Congo",2010,4,"19",0.30555555
"Congo, Democratic Republic",1999,4,"10",0.11111111
"Congo, Democratic Republic",2000,4,"10",0.11111111
"Congo, Democratic Republic",2001,4,"",0.11111111
"Congo, Democratic Republic",2002,4,"",0.11111111
"Congo, Democratic Republic",2003,4,"",0.11111111
"Congo, Democratic Republic",2004,4,"",0.11111111
"Congo, Democratic Republic",2005,4,"",0.11111111
"Congo, Democratic Republic",2006,4,"",0.11111111
"Congo, Democratic Republic",2007,4,"",0.11111111
"Congo, Democratic Republic",2008,4,"",0.11111111
"Congo, Democratic Republic",2009,4,"19",0.12268519
"Congo, Democratic Republic",2010,4,"17",0.1388889
"Cyprus (1975-)",1999,3,"50",0.83333331
"Cyprus (1975-)",2000,3,"50",0.83333331
"Cyprus (1975-)",2001,3,"50",0.83333331
"Cyprus (1975-)",2002,3,"70",0.83333331
"Cyprus (1975-)",2003,3,"70",0.83333331
"Cyprus (1975-)",2004,3,"70",0.83333331
"Cyprus (1975-)",2005,3,"61",0.83333331
"Cyprus (1975-)",2006,3,"54",0.83333331
"Cyprus (1975-)",2007,3,"57",0.83333331
"Cyprus (1975-)",2008,3,"56",0.83333331
"Cyprus (1975-)",2009,3,"53",0.83333331
"Cyprus (1975-)",2010,3,"64",0.83333331
"Benin",1999,4,"30",NA
"Benin",2000,4,"30",NA
"Benin",2001,4,"30",NA
"Benin",2002,4,"30",NA
"Benin",2003,4,"30",NA
"Benin",2004,4,"30",NA
"Benin",2005,4,"30",NA
"Benin",2006,4,"32",NA
"Benin",2007,4,"29",NA
"Benin",2008,4,"25",NA
"Benin",2009,4,"27",NA
"Benin",2010,4,"31",NA
"Equatorial Guinea",1999,4,"10",NA
"Equatorial Guinea",2000,4,"10",NA
"Equatorial Guinea",2001,4,"10",NA
"Equatorial Guinea",2002,4,"10",NA
"Equatorial Guinea",2003,4,"10",NA
"Equatorial Guinea",2004,4,"10",NA
"Equatorial Guinea",2005,4,"10",NA
"Equatorial Guinea",2006,4,"10",NA
"Equatorial Guinea",2007,4,"19",NA
"Equatorial Guinea",2008,4,"21",NA
"Equatorial Guinea",2009,4,"19",NA
"Equatorial Guinea",2010,4,"17",NA
"Ethiopia (-1992)",1999,4,"",NA
"Ethiopia (-1992)",2000,4,"",NA
"Ethiopia (-1992)",2001,4,"",NA
"Ethiopia (-1992)",2002,4,"",NA
"Ethiopia (-1992)",2003,4,"",NA
"Ethiopia (-1992)",2004,4,"",NA
"Ethiopia (-1992)",2005,4,"",NA
"Ethiopia (-1992)",2006,4,"",NA
"Ethiopia (-1992)",2007,4,"",NA
"Ethiopia (-1992)",2008,4,"",NA
"Ethiopia (-1992)",2009,4,"",NA
"Ethiopia (-1992)",2010,4,"",NA
"Ethiopia (1993-)",1999,4,"30",0.47222221
"Ethiopia (1993-)",2000,4,"30",0.47222221
"Ethiopia (1993-)",2001,4,"30",0.47222221
"Ethiopia (1993-)",2002,4,"32",0.47222221
"Ethiopia (1993-)",2003,4,"32",0.47222221
"Ethiopia (1993-)",2004,4,"35",0.47222221
"Ethiopia (1993-)",2005,4,"25",0.47222221
"Ethiopia (1993-)",2006,4,"23",0.47222221
"Ethiopia (1993-)",2007,4,"22",0.4699074
"Ethiopia (1993-)",2008,4,"24",0.4861111
"Ethiopia (1993-)",2009,4,"24",0.4861111
"Ethiopia (1993-)",2010,4,"26",0.4861111
"Eritrea",1999,4,"",NA
"Eritrea",2000,4,"",NA
"Eritrea",2001,4,"",NA
"Eritrea",2002,4,"",NA
"Eritrea",2003,4,"",NA
"Eritrea",2004,4,"",NA
"Eritrea",2005,4,"",NA
"Eritrea",2006,4,"",NA
"Eritrea",2007,4,"",NA
"Eritrea",2008,4,"",NA
"Eritrea",2009,4,"28",NA
"Eritrea",2010,4,"26",NA
"Djibouti",1999,4,"30",NA
"Djibouti",2000,4,"30",NA
"Djibouti",2001,4,"30",NA
"Djibouti",2002,4,"30",NA
"Djibouti",2003,4,"30",NA
"Djibouti",2004,4,"30",NA
"Djibouti",2005,4,"30",NA
"Djibouti",2006,4,"30",NA
"Djibouti",2007,4,"30",NA
"Djibouti",2008,4,"30",NA
"Djibouti",2009,4,"29",NA
"Djibouti",2010,4,"30",NA
"Gabon",1999,4,"50",0.3888889
